location,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,Growth rate per annum 2016,Growth rate per annum 2005-15,Share 2016
Iran,0.358066593,0.866050088,1.164644588,1.290524365,1.339067838,1.394982835,1.417314751,1.443184789,0.904056176,0.870779148,0.463327415,0.504817622,0.691363195,0.790134591,0.917262779,0.992257384,0.953232336,1.166947518,1.263434685,1.59975421,2.532061299,2.991151911,3.157130825,1.691572332,2.687092667,3.264487399,3.828815705,4.033993894,4.555591459,5.427157328,5.755230543,6.413142705,7.62620136,7.999124196,9.300469508,9.896774516,10.78437227,12.08913779,12.62339013,13.90445657,14.74183978,15.46669983,16.03222959,16.136827,17.98069744,18.32231425,19.53308093,0.066081536,0.063527356,0.05699995
Iraq,0.075896961,0.089549814,0.090270024,0.088044775,0.080842089,0.125670747,0.173893086,0.113952944,0.118145553,0.169424378,0.12361204,0.05998655,0.0657917,0.045473675,0.056928008,0.082239625,0.149966375,0.362821875,0.540333633,0.624053624,0.38507495,0.16834935,0.219028098,0.246718875,0.306705425,0.306705425,0.312621602,0.295095125,0.285419875,0.30767295,0.303937669,0.2670369,0.2283359,0.1509339,0.096488149,0.140291125,0.140291125,0.14125865,0.18139772,0.111168622,0.126068507,0.08475519,0.062331344,0.114066812,0.08750418,0.096932073,0.109136418,0.125906162,-0.036295848,0.000318474
Kuwait,0.197052591,0.203610261,0.239933863,0.269509464,0.283592328,0.31079053,0.372873091,0.407650533,0.456779302,0.604810627,0.392813975,0.453231711,0.355619189,0.390450089,0.422189256,0.4063605,0.554391825,0.46247695,0.659978938,0.789500399,0.405392975,0.04837625,0.25279895,0.52439855,0.577612425,0.897648194,0.897554202,0.896895674,0.918288727,0.835941599,0.926286229,0.919148749,0.842714274,0.967524999,1.051720822,1.190055749,1.200698524,1.089433149,1.22539949,1.111589472,1.135197082,1.309351581,1.497013629,1.578149234,1.454071655,1.635988021,1.652174816,0.009894201,0.032336496,0.004821251
Oman,0,0,0,0,0,0,0,0,0.039234197,0.065978615,0.083534114,0.098696406,0.10806374,0.134129366,0.168151329,0.214634138,0.251017407,0.281155787,0.28214764,0.293645566,0.31726754,0.321747569,0.350653737,0.337495551,0.353379292,0.494975374,0.533697695,0.60874097,0.632091427,0.666166802,1.056620256,1.583419178,1.70860274,1.882232877,1.91005963,2.14029863,2.493643836,2.525986301,2.50784153,2.613008219,2.838287671,2.990367123,3.105005464,3.365882192,3.220493151,3.361350685,3.417723409,0.016770855,0.046174054,0.00997334
Qatar,0.097236262,0.097236262,0.106426428,0.15286895,0.125584745,0.193795257,0.105558035,0.150063127,0.143096947,0.422034405,0.457450314,0.418261057,0.489083887,0.506499337,0.572174723,0.52826865,0.5611645,0.542781525,0.565420552,0.599865499,0.609540749,0.738221574,1.217680438,1.306158749,1.306158749,1.306158749,1.321887639,1.683493499,1.894413948,2.133392623,2.402554906,2.612317498,2.854198748,3.038028497,3.779440789,4.431264496,4.905351746,6.114757995,7.427754185,8.639998243,12.69054165,14.05537112,15.1534246,17.18343903,16.84042181,17.26760885,17.48830524,0.012780946,0.145698786,0.051033041
Saudi Arabia,0.156416542,0.130508372,0.147519659,0.1741545,0.220380694,0.262199275,0.28228144,0.398297791,0.549231691,0.674364924,0.938293643,1.096958344,1.162642541,1.135336835,1.756084309,1.818946998,2.438162998,2.592966998,2.807805131,2.883224498,3.243143797,3.402785422,3.690671693,3.873970097,4.138104421,4.153584821,4.285038689,4.386758346,4.529952046,4.469965496,4.806074693,5.194641721,5.485866745,5.810955145,6.337341615,6.892648094,7.107535396,7.200321044,7.761506691,7.590233619,8.481324143,8.926385642,9.584167823,9.678152567,9.905520942,10.10579862,10.55360476,0.044311802,0.039006952,0.030796726
Syria,0,0,0,0,0,0,0.002894552,0.003230629,0.003115085,0.003212142,0.004311869,0.004362967,0.004552461,0.006909572,0.011638128,0.013865363,0.035058569,0.03451782,0.081430024,0.133655162,0.147173891,0.171777977,0.177194535,0.175859015,0.190630248,0.240383791,0.255435021,0.397270368,0.500943995,0.49658796,0.495231162,0.508784857,0.562799688,0.596776759,0.547360758,0.531436238,0.544504342,0.522724168,0.512607694,0.567155723,0.778859011,0.685639868,0.560393157,0.461739682,0.426891404,0.393351092,0.347585474,-0.116348013,-0.029639925,0.001014297
United Arab Emirates,0.080627083,0.142333678,0.144088969,0.167919339,0.168134344,0.16060915,0.187187009,0.37733475,0.552456775,0.591157774,0.725590879,0.857227149,0.919148749,0.808850899,1.061369637,1.280035574,1.472573049,1.634149724,1.675034264,1.971815948,1.945692773,2.303677023,2.139142259,2.224339973,2.598772148,3.030288297,3.26129943,3.513083272,3.586615172,3.724003722,3.703215152,4.348057346,4.198090971,4.333544471,4.466436409,4.623801971,4.720554471,4.865683221,4.847564597,4.725392096,4.961661701,5.060929766,5.239306481,5.282686496,5.248300042,5.822657588,5.968933594,0.025121863,0.023321745,0.017418088
Yemen,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.072275513,0.578213349,0.871024387,0.702150168,0.956985013,0.902327754,0.264398599,0.070238043,-0.734347901,0,0.000204963
Other Middle East,0.013021918,0.012189041,0.012016393,0.005230137,0.006391781,0.005841096,0.005612022,0.005591781,0.00550137,0.003917808,0.000185792,0.00019726,0.004391781,0.006221918,0.005418033,0.005112329,0.003832877,0.004367123,0.003997268,0.013816438,0.018252055,0.017717808,0.018653005,0.021161644,0.029482192,0.029827397,0.02802459,0.031136986,0.031008219,0.030619178,0.029065574,0.028093151,0.025523288,0.028663014,0.143428962,0.183564384,0.248052055,0.288041096,0.351374317,0.279715476,0.331341113,0.429702636,0.256325316,0.632731881,0.741195639,0.811977007,0.908408255,0.118761058,0.160313997,0.002650848
Total Middle East,1.038412004,1.62909228,2.013931532,2.303270535,2.415133757,2.655026587,2.757850941,3.127964753,3.022851088,3.684219519,3.414580681,3.703369483,4.131658295,4.170917746,5.327686305,5.778074334,6.918965342,7.56756036,8.393756759,9.445662704,10.16530204,10.69927622,11.84691024,11.0718471,12.87402029,14.42153747,15.44063827,16.61758556,17.74511082,18.93045934,20.32398841,22.75777742,24.44739736,25.73929543,28.57425656,31.0663326,33.24117977,35.97786456,38.65941939,40.85072711,47.92912721,51.16592317,53.51797839,56.81219141,58.30418772,59.58531069,61.54036281,0.032810975,0.067296099,0.179582402
Algeria,0.245106333,0.258329175,0.32645157,0.434418725,0.502252977,0.61846348,0.776836807,0.745531763,1.156192374,1.895166468,1.420519969,1.651350168,2.154678173,3.085437222,3.132005311,3.451376678,3.530068711,3.984052941,4.153600389,4.490821035,4.774950876,5.14895304,5.346729954,5.430287809,4.992536499,5.683994365,6.015071198,6.919631291,7.409843958,8.32910021,8.470587376,7.993154029,8.221382426,8.675796668,8.485918271,8.535505543,8.172393411,8.207224311,8.280516444,7.696661368,7.780062023,8.001431743,7.863784129,7.975308568,8.059096233,8.185261493,8.809367988,0.076247594,-0.004181177,0.025706827
Egypt,0.008223962,0.008223962,0.006850659,0.005514892,0.00580515,0.004837625,0.036665497,0.04450615,0.07159685,0.1083628,0.210344164,0.2360761,0.258329175,0.302835325,0.387882358,0.476989825,0.5495542,0.607605699,0.66769799,0.748864349,0.780792674,0.878512699,0.947513621,1.092335724,1.170705249,1.209406249,1.283292379,1.315833999,1.354534999,1.625441999,2.026251125,2.438162998,2.641343248,2.912250248,3.184108911,4.111981247,5.292361746,5.38814672,5.689906136,6.06541422,5.932863295,5.945205479,5.87431694,5.424657534,4.720622198,4.281298121,4.035134384,-0.057497453,0.004043282,0.011775022
Libya,0.028445235,0.06850077,0.273254437,0.438385577,0.394266437,0.448447837,0.461116863,0.488696877,0.495469552,0.656465712,0.498843729,0.304770375,0.324120875,0.358951775,0.443845485,0.503113,0.541814,0.4837625,0.530684819,0.657916999,0.599865499,0.632761349,0.653224768,0.615345899,0.618248474,0.613410849,0.619453915,0.635663924,0.615345899,0.503113,0.567350315,0.597930449,0.57083975,0.53213875,0.77769448,1.093303249,1.276649236,1.478378199,1.534161566,1.538364749,1.626796534,0.759990887,1.068403215,1.124018725,1.093283838,1.141703859,0.973541671,-0.147290549,0.00434121,0.002840915
Nigeria,0.010750278,0.019888014,0.026587845,0.040851056,0.038163486,0.034185883,0.063253342,0.083529658,0.101160114,0.133303444,0.160706372,0.237366133,0.247256389,0.280259741,0.268880308,0.2554266,0.297890197,0.294987622,0.35368267,0.410660611,0.390987602,0.381419855,0.411682768,0.470432155,0.429688602,0.467637083,0.524573902,0.506636566,0.612869956,0.441773594,1.137997888,1.554287399,1.745658654,2.178855006,2.357750156,2.423475173,2.863241323,3.565342304,3.489270257,2.515281326,3.610851284,3.926133923,4.176565535,3.50143654,4.358525167,4.844246575,4.330437158,-0.106065909,0.071713661,0.012636752
Other Africa,0.010900948,0.016979634,0.021926437,0.068952287,0.087957145,0.054105775,0.040228693,0.047117939,0.054201335,0.058559944,0.076656537,0.086792729,0.09425995,0.095327547,0.093243151,0.097093538,0.104252153,0.104353977,0.124469247,0.113701592,0.113839323,0.109177091,0.221030633,0.279144474,0.28248883,0.278926493,0.372996282,0.462401101,0.541786567,0.600475772,0.599682074,0.654748997,0.620189845,0.618465782,0.790696243,0.963360481,1.027542603,1.039942653,1.457534311,1.503357146,1.681207547,1.624973827,1.699488967,1.934854781,1.801348482,1.868850974,1.953542021,0.045317175,0.068509984,0.005700678
Total Africa,0.303426756,0.371921555,0.655070949,0.988122537,1.028445196,1.1600406,1.378101202,1.409382387,1.878620225,2.851858368,2.367070772,2.516355504,3.078644562,4.122811611,4.325856613,4.78399964,5.02357926,5.474762739,5.830135114,6.421964587,6.660435975,7.150824035,7.580181744,7.887546062,7.493667654,8.253375039,8.815387677,9.840166882,10.53438138,11.49990457,12.80186878,13.23828387,13.79941392,14.91750645,15.59616806,17.12762569,18.63218832,19.67903419,20.45138871,19.31907881,20.63178068,20.25773586,20.68255879,19.96027615,20.03287592,20.32136102,20.10202322,-0.01079346,0.017244998,0.058660194
Australia,0.16834935,0.251233991,0.359686377,0.457961833,0.5224635,0.561056997,0.660514983,0.756604549,0.814548547,0.937639227,1.073698678,1.166942652,1.138131907,1.236281943,1.174427419,1.257559973,1.372301354,1.401392735,1.42985791,1.645035492,1.901734261,2.025260055,2.205538913,2.295810591,2.615959414,2.73911576,2.752307316,2.760215207,2.819682008,2.860689391,2.897639307,3.04092787,3.075117456,3.14491525,3.339609563,3.564701727,3.794601982,3.990179545,3.899637557,4.443350186,4.876153505,5.144811026,5.488838098,5.71133174,6.156520188,7.026507063,8.795330419,0.251735797,0.070216467,0.025665864
Bangladesh,0,0,0.040525023,0.056223953,0.061814097,0.062136606,0.08158609,0.091269858,0.100730103,0.115887994,0.130151792,0.136849315,0.177671233,0.19769863,0.227568306,0.259150685,0.292219178,0.343342466,0.403005464,0.427205479,0.459808219,0.473534247,0.514972678,0.578027397,0.613041096,0.677753425,0.725437158,0.715041096,0.772657534,0.842410959,0.908060109,1.019616438,1.072684931,1.153835616,1.237076503,1.333260274,1.443835616,1.541643836,1.641693989,1.884461088,1.935424657,1.968438356,2.138907104,2.206739726,2.314246575,2.598904109,2.655374215,0.02172843,0.069024188,0.007748711
Brunei,0.021178047,0.020963042,0.042990831,0.188237364,0.408618058,0.535793844,0.704792323,0.811000955,0.794875538,0.832716516,0.833550397,0.80928091,0.808313385,0.843036783,0.850703845,0.831641488,0.833791544,0.831856494,0.861960796,0.847014385,0.863569813,0.876577649,0.940973869,0.999023313,1.005365977,1.137916902,1.124944606,1.128886668,1.042131927,1.086315569,1.090101664,1.102655991,1.108676146,1.195323385,1.180304611,1.161967008,1.216216294,1.185603004,1.172701854,1.104328993,1.188353669,1.238312026,1.212413315,1.181007029,1.146744116,1.124459835,1.081882451,-0.037864744,-0.003275772,0.003157067
China,0.28688968,0.373856238,0.482492059,0.597770135,0.752710555,0.884659815,1.006853265,1.21153412,1.372472233,1.450442251,1.422554068,1.273510288,1.192541423,1.22053066,1.239127334,1.292502984,1.37547108,1.388466083,1.421557183,1.504321532,1.529211961,1.548404581,1.5740805,1.675855571,1.755225051,1.794010136,2.005133323,2.269427321,2.32700518,2.518831415,2.714876323,3.035480574,3.268878995,3.504479287,4.138190159,4.936196443,5.860282042,6.929891356,8.014873849,8.5341552,9.587250476,10.54266271,10.79094296,11.823435,12.73293752,13.1685635,13.35306996,0.01401113,0.103099269,0.038965912
India,0.063615057,0.067412304,0.073741068,0.073749593,0.083473219,0.106863136,0.129462974,0.138646332,0.154852376,0.192585851,0.113590673,0.198850575,0.260699611,0.310188515,0.35428036,0.434539665,0.6071558,0.699402536,0.817065504,0.974105137,1.16532581,1.297820618,1.447040487,1.474365873,1.593970345,1.817220934,1.97805433,2.156463257,2.366578726,2.424931126,2.542544736,2.556050114,2.66930472,2.857530904,2.820738402,2.866099305,2.83339696,2.91157298,2.946458601,3.633934445,4.767639573,4.306609152,3.751255803,3.109601992,2.952018737,2.834529199,2.665835321,-0.059513897,-0.001106999,0.007779238
Indonesia,0.119865597,0.121263133,0.118573214,0.077402,0.109007817,0.225433325,0.22674715,0.54761915,1.052667199,1.526754449,1.785995635,1.816044423,1.846037698,2.106301923,2.831927168,3.125105747,3.251851522,3.474382272,3.784265197,3.992008147,4.245654794,4.662156164,4.927177595,5.13289315,5.848358904,5.874776476,6.173224262,6.355064257,6.249021315,6.776376789,6.719418033,6.541660274,7.205463013,7.545441096,7.195704918,7.270238356,7.187052055,6.918435616,7.1135,7.439367123,8.293120548,7.881186301,7.443330601,7.39929315,7.282610959,7.259983561,6.724605196,-0.073743743,-0.000141141,0.019623231
Malaysia,0,0.007660605,0.010697946,0.010727256,0.022362635,0.026956697,0.032003864,0.029364595,0.218662263,0.271336974,0.240684327,0.203287753,0.255749108,0.616743436,0.934326908,1.035144246,1.392160971,1.505253893,1.549706879,1.681880957,1.664895518,1.976976082,2.043511783,2.229930118,2.294001773,2.59769712,3.290889129,3.757759594,3.77076743,3.834086566,4.498920753,4.452657549,4.592518663,4.806556693,5.468519439,6.182536303,6.067107462,5.953854406,6.152427747,5.909629323,5.43852529,6.016643865,5.938299559,6.508007717,6.614033428,6.891978155,7.125006637,0.033811553,0.010922172,0.020791652
Myanmar,0.000725644,0.001402911,0.001495566,0.001814109,0.016230232,0.01741545,0.024122037,0.022253075,0.026123175,0.026123175,0.033770852,0.04063605,0.043538625,0.0580515,0.061752415,0.0890123,0.103525175,0.115135475,0.100347675,0.105460225,0.082239625,0.08320715,0.083944689,0.10642775,0.138356075,0.1586741,0.154381038,0.146096275,0.1702844,0.1664143,0.328059706,0.677267499,0.812720999,0.928823999,0.984179118,1.180380499,1.219081499,1.308093799,1.196453045,1.117934247,1.202180822,1.235873973,1.228674863,1.26649189,1.629104493,1.892378822,1.819459563,-0.038533119,0.048331427,0.005309408
Pakistan,0.337236214,0.336268689,0.310799048,0.354974172,0.392707647,0.4411914,0.448669892,0.4915027,0.50504805,0.5689047,0.692784909,0.757572074,0.826266349,0.814656049,0.833657606,0.853357049,0.915278649,0.980102824,1.036282718,1.107816124,1.183283074,1.278100524,1.250486409,1.443547299,1.471605524,1.509338999,1.635474123,1.635117249,1.722194499,1.964075748,2.0744952,2.196281748,2.381079023,2.960554687,3.54482377,3.778583562,3.860769863,3.916478082,3.999071038,4.020926027,4.095863014,4.094849315,4.228980874,4.123363123,4.053951698,4.061005561,4.007284399,-0.013228537,0.007234181,0.011693752
Thailand,0,0,0,0,0,0,0,0,0,0,0,0.025479452,0.129863014,0.152876712,0.227595628,0.3,0.346077871,0.483520225,0.571522884,0.572511678,0.623928961,0.773236843,0.822676538,0.928477488,1.026368085,1.086684514,1.252801892,1.546473685,1.67897207,1.839156685,1.926170549,1.878708441,1.963744718,2.053724964,2.133817272,2.266315656,2.326632085,2.4868167,2.7468695,2.95649381,3.466711471,3.536915839,3.95122049,3.998682598,4.027357622,3.806856578,3.723797889,-0.021818182,0.053233373,0.010866504
Vietnam,0,0,0,0,0,0,0,0,0,0,0,0.000967525,0.001827547,0.006342664,0.005467662,0.003440089,0.003547592,0.003547592,0.002680226,0.003225083,0.0038701,0.006987681,0.020262511,0.024188125,0.024188125,0.014082864,0.027659936,0.051386328,0.08707725,0.12577825,0.154381038,0.193505,0.232206,0.229625933,0.401390699,0.623086099,0.677267499,0.685007699,0.723564628,0.774987524,0.909667004,0.820461199,0.902646632,0.943433627,0.987843024,1.031381649,1.033368776,0.001926665,0.051688521,0.003015498
Other Asia Pacific,0.531719291,0.600911519,0.654626808,0.680119229,0.706105995,0.694658924,0.737637409,0.833712602,0.799851121,0.713651765,0.733837359,0.706040218,0.750052864,0.773164251,0.846990432,0.927421634,0.973066353,0.971233091,1.010680983,0.757277544,0.738149605,0.755371914,0.777089229,0.769812116,0.748850206,0.72511896,0.782359806,0.814269476,0.761076605,0.823546181,0.858111609,0.909716588,1.046858651,1.030378656,0.98815778,1.070167022,1.371421056,1.62610271,1.71731575,1.752734342,1.70611949,1.723762242,1.693300012,1.753157456,2.231655534,2.66670582,2.968086817,0.113016214,0.095600835,0.008661245
Total Asia Pacific,1.52957888,1.780972433,2.09562794,2.498979643,3.075493754,3.556166193,4.052389987,4.933507936,5.839830605,6.636042901,7.060618689,7.135461236,7.430692765,8.335873067,9.587825084,10.40887586,11.46644709,12.19763569,12.98893342,13.61786178,14.46167174,15.75763351,16.6077552,17.65835879,19.13529058,20.13239019,21.90266692,23.33620041,23.76744894,25.26261298,26.71277903,27.60452809,29.42925332,31.41119047,33.43251223,36.23353226,37.85766441,39.45367973,41.32456756,43.57230231,47.46700952,48.510526,48.76881031,50.02454505,52.1290239,54.36325386,55.95310164,0.029244898,0.041404565,0.163278082
Total World,95.59596475,102.0233359,106.8111744,112.2513192,114.0234091,114.2646418,118.7097807,123.9163663,128.1220351,137.024615,138.1673831,140.7515311,140.626096,141.0825806,152.8450894,158.0951348,162.3614245,170.591372,177.855202,184.2663161,190.2660446,192.9256055,194.054427,196.5512366,199.4483233,202.675419,212.1052515,212.8194491,218.0304863,223.6927401,232.164961,239.1451096,244.0041061,252.7407581,260.4951932,268.3880349,278.3319783,285.1768117,294.6943401,287.2435588,308.8522286,318.3351038,323.4537336,329.3359858,335.3348114,341.5917648,342.6859324,0.003203144,0.02441145,1
