location,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,Growth rate per annum 2016,Growth rate per annum 2005-15,Share 2016
US,5.635647774,5.712357998,5.706184864,5.67036438,5.591530323,5.475601196,5.425112247,5.301225662,4.757910252,4.732198715,4.795345306,4.730669498,4.672705173,4.599081039,4.639347553,4.67641449,4.714019299,4.735228539,4.645124435,4.740410805,5.024173737,5.195009232,5.293721676,5.353130817,5.451361656,5.787539482,5.977262497,6.731651306,6.92788744,7.716596603,8.626020432,9.45972538,8.72260952,9.57857132,10.44053555,8.713944435,8.713944435,0,0.041770564,0.046705067
Canada,2.492000103,2.562999964,2.59100008,2.612999916,2.809000015,2.78399992,2.746000051,2.693000078,2.671000004,2.732000113,2.724999905,2.710999966,2.671999931,2.232000113,1.898000002,1.92900002,1.942000031,1.809000015,1.748000026,1.718999982,1.682999969,1.694000006,1.664000034,1.603000045,1.600000024,1.632560015,1.639711976,1.633823991,1.754233956,1.727450013,1.976977468,1.920518041,1.999454141,2.027703047,1.987248659,2.171280384,2.171280384,0,0.028927265,0.011637645
Mexico,1.827000022,2.134000063,2.134000063,2.180999994,2.171999931,2.167000055,2.145999908,2.118999958,2.078000069,2.059999943,2.025000095,2.009000063,1.98300004,1.97300005,1.937000036,1.916000009,1.809999943,1.797000051,0.851000011,0.861000001,0.834999979,0.796999991,0.423999995,0.421000004,0.419,0.407999992,0.387962401,0.372999996,0.358999997,0.338842273,0.353796393,0.360572606,0.359994948,0.347521365,0.324154317,0.243802413,0.243802413,0,-0.050187711,0.001306734
Total North America,9.954647899,10.40935802,10.43118501,10.46436429,10.57253027,10.42660117,10.31711221,10.1132257,9.506910324,9.524198771,9.545345306,9.450669527,9.327705145,8.804081202,8.474347591,8.521414518,8.466019273,8.341228604,7.244124472,7.320410788,7.542173684,7.686009228,7.381721705,7.377130866,7.47036168,7.828099489,8.004936874,8.738475293,9.041121393,9.782888889,10.95679429,11.74081603,11.08205861,11.95379573,12.75193852,11.12902723,11.12902723,0,0.03580997,0.059649446
Argentina,0.640999973,0.648000002,0.691999972,0.67900002,0.667999983,0.680999994,0.671000004,0.693000019,0.773000002,0.671000004,0.660000026,0.643000007,0.541000009,0.51700002,0.535000026,0.619000018,0.64200002,0.684000015,0.686999977,0.728999972,0.777999997,0.763999999,0.663999975,0.611999989,0.541999996,0.43900001,0.44600001,0.441974014,0.398528993,0.378679007,0.358711898,0.332510233,0.31550771,0.328259706,0.332217425,0.350484133,0.350484133,0,-0.022266753,0.001878528
Bolivia,0.122000001,0.153999999,0.145999998,0.134000003,0.125,0.128999993,0.136999995,0.142000005,0.147,0.115999997,0.112999998,0.115999997,0.119999997,0.118000001,0.108000003,0.127000004,0.108000003,0.118000001,0.150000006,0.518000007,0.675000012,0.774999976,0.813000023,0.782000005,0.757000029,0.756059885,0.74000001,0.709999979,0.709999979,0.281469494,0.280999988,0.280999988,0.317148715,0.297326922,0.280336827,0.280336827,0.280336827,0,-0.094450082,0.001502551
Brazil,0.052205,0.059099998,0.070919998,0.080770001,0.082740001,0.091605,0.094559997,0.103425004,0.107364997,0.114260003,0.113274999,0.122139998,0.131005004,0.134945005,0.143810004,0.151690006,0.155630007,0.224580005,0.222609997,0.227534994,0.217684999,0.216542393,0.240878791,0.241659895,0.321192741,0.301799089,0.342684448,0.35951516,0.358772188,0.361588299,0.416657954,0.452512264,0.452299625,0.45129028,0.46402812,0.423508316,0.371745169,-0.12222463,0.034461666,0.001992483
Colombia,0.122000001,0.122000001,0.119999997,0.112999998,0.108999997,0.107000001,0.112999998,0.097000003,0.127000004,0.108999997,0.101000004,0.098999999,0.185000002,0.210999995,0.214000002,0.216999993,0.216999993,0.195999995,0.195999995,0.187999994,0.128999993,0.128000006,0.119999997,0.114,0.119000003,0.112999998,0.123000003,0.124956734,0.124141067,0.134136915,0.153052568,0.154694945,0.162170604,0.155969203,0.134759888,0.123489782,0.123489782,0,0.00891658,0.000661881
Peru,0.032000002,0.032000002,0.027000001,0.026000001,0.025,0.027000001,0.055,0.340000004,0.340000004,0.340000004,0.338999987,0.342999995,0.326000005,0.331999987,0.340000004,0.201000005,0.201000005,0.197999999,0.246999994,0.246999994,0.246999994,0.246999994,0.246999994,0.246999994,0.324999988,0.333999991,0.331580043,0.334705174,0.33985883,0.33985883,0.352884591,0.359623998,0.43539989,0.426083654,0.414162248,0.398701251,0.398701251,0,0.017864843,0.002136962
Trinidad & Tobago,0.296999991,0.340000004,0.333999991,0.317000002,0.31099999,0.317000002,0.308999985,0.303000003,0.294,0.286000013,0.252000004,0.238000005,0.232999995,0.230000004,0.286000013,0.349000007,0.456,0.51700002,0.560000002,0.605000019,0.556999981,0.575999975,0.588999987,0.532000005,0.532000005,0.529999971,0.479999989,0.481301486,0.435229987,0.408215702,0.381144792,0.37539649,0.371120632,0.346598238,0.325728714,0.325728714,0.30015862,-0.078501199,-0.047515274,0.001608792
Venezuela,1.262410045,1.365100026,1.471220016,1.562330008,1.666300058,1.734799981,2.621999979,2.838000059,2.855999947,2.9927001,3.428999901,3.581799984,3.693000078,3.693000078,3.965049982,4.064700127,4.051499844,4.120800018,4.147463799,4.152418137,4.152418137,4.179999828,4.181000233,4.218999863,4.289408207,4.311636925,4.7076478,4.839916229,4.98322773,5.065233231,5.524504185,5.528411865,5.561571121,5.58093977,5.617156982,5.701569557,5.701569557,0,0.028336437,0.030559317
Other S. & Cent. America,0.164786406,0.158786409,0.154660195,0.163660191,0.158378642,0.153378639,0.152097084,0.151097089,0.149815533,0.166533981,0.163252432,0.160970872,0.161689321,0.159407765,0.157126216,0.15184466,0.146563103,0.145999996,0.142718447,0.141999997,0.121999996,0.121000001,0.119999999,0.072000001,0.066300003,0.066300003,0.06476,0.067560001,0.067050001,0.066680001,0.062014731,0.061100001,0.060000001,0.058999999,0.062899999,0.062986937,0.062901987,-0.001348702,-0.005113141,0.000337143
Total S. & Cent. America,2.693401419,2.878986441,3.015800169,3.075760223,3.145418672,3.240783611,4.153657041,4.667522185,4.794180486,4.795494098,5.17052735,5.303910857,5.390694411,5.395352855,5.74898625,5.881234819,5.977692975,6.204380048,6.352792216,6.808953114,6.878103109,7.007542172,6.974878998,6.819659751,6.951900972,6.851795872,7.235672303,7.359928778,7.416808775,7.035861479,7.529970708,7.545249785,7.675218298,7.645467772,7.631290205,7.666805518,7.589387325,-0.010097842,0.011302319,0.040677657
Azerbaijan,,,,,,,,,,,,,,,,,,0.570961297,0.570961297,0.862246692,0.862246692,0.862246692,0.862246692,0.862246692,0.862246692,0.862246692,0.862246692,0.869009376,0.919053555,0.885916233,0.888999999,0.888999999,0.888999999,0.877882361,1.166165471,1.148337364,1.148337364,0,0.029067342,0.006154867
Denmark,0.082000002,0.082000002,0.082000002,0.097999997,0.103,0.090999998,0.071000002,0.07,0.079000004,0.108000003,0.098999999,0.101000004,0.128999993,0.126000002,0.123999998,0.119999997,0.114,0.111000001,0.104000002,0.142000005,0.143999994,0.141000003,0.128999993,0.136000007,0.131999999,0.122000001,0.119999997,0.068999998,0.055,0.064000003,0.052000001,0.043000001,0.037999999,0.037,0.035,0.017000001,0.013,-0.235294143,-0.178875688,6.97E-05
Germany,0.222599998,0.208320007,0.202439994,0.26879999,0.257039994,0.248640001,0.320879996,0.315840006,0.304919988,0.294840008,0.182280004,0.163800001,0.166319996,0.166319996,0.186480001,0.201745316,0.205815122,0.192315474,0.191652715,0.226823524,0.221699521,0.213780001,0.201936007,0.182196006,0.169008002,0.156995997,0.136836007,0.124572001,0.106008001,0.082571998,0.073247999,0.066780001,0.059640002,0.052499998,0.043008,0.038975999,0.035363998,-0.092672429,-0.130056861,0.000189544
Italy,0.146666661,0.164083332,0.165000007,0.21633333,0.229166672,0.23833333,0.242916673,0.275000006,0.29975,0.30158332,0.295166671,0.337333322,0.275916666,0.267666668,0.273166656,0.272249997,0.254833341,0.251166672,0.242916673,0.190666661,0.182416663,0.167750001,0.157666668,0.123750001,0.11424692,0.106917247,0.086301416,0.076817587,0.064027332,0.058276165,0.060515583,0.057145916,0.054472916,0.051519416,0.049236916,0.0450285,0.034937833,-0.224095133,-0.082842395,0.00018726
Kazakhstan,,,,,,,,,,,,,,,,,,1.268802881,1.268802881,1.24434042,1.24434042,1.24434042,1.284916639,1.284916639,1.284916639,1.284916639,1.291679382,1.318730235,1.318730235,1.318730235,1.317000031,1.191251874,0.824556708,0.941317856,0.936020851,0.962499976,0.962499976,0,-0.028478139,0.005158815
Netherlands,1.900844455,1.835822225,1.787688851,1.756444454,1.718444467,1.683822274,1.65088892,1.612888932,1.585022211,1.574888945,1.784311056,1.761511087,1.740399957,1.697333336,1.686355591,1.648355603,1.629777789,1.644133329,1.598533392,1.550400019,1.500577807,1.467644453,1.42626667,1.363777757,1.327466607,1.275111079,1.215155602,1.173777819,1.135777831,1.173777819,1.101155519,1.038666725,0.806444466,0.757466674,0.674711108,0.696666658,0.696666658,0,-0.058657427,0.003733999
Norway,0.388000011,0.372000009,0.344999999,0.407000005,0.379999995,0.545400023,0.452800006,1.246899962,1.731999993,1.730000019,1.680099964,1.273699999,1.380800009,1.354799986,1.345800042,1.352200031,1.480000019,1.172999978,1.172000051,1.246999979,1.258999944,2.188999891,2.117000103,2.460999966,2.385999918,2.35800004,2.302000046,2.312999964,2.214999914,2.046000004,2.042000055,2.069999933,2.089999914,2.049000025,1.922000051,1.856899977,1.763399959,-0.050352749,-0.02360742,0.009451485
Poland,0.094117649,0.09049774,0.087782808,0.085067868,0.082352936,0.08687783,0.149321273,0.147511318,0.154751137,0.148416296,0.143891394,0.13846153,0.142986432,0.1402715,0.1402715,0.13846153,0.134841636,0.1402715,0.127601817,0.132126689,0.107692309,0.104072399,0.104977369,0.099547513,0.098642528,0.095927604,0.102262445,0.10446246,0.105305985,0.110441342,0.109157465,0.106858984,0.10292016,0.098270975,0.094515167,0.090681851,0.090681851,0,-0.005607871,0.000486037
Romania,0.300000012,0.280000001,0.254999995,0.230000004,0.209999993,0.270000011,0.234999999,0.197999999,0.165000007,0.133000001,0.104999997,0.481000006,0.465999991,0.444999993,0.425000012,0.407000005,0.388999999,0.374000013,0.360000014,0.34799999,0.335000008,0.321999997,0.31099999,0.305000007,0.294999987,0.628000021,0.628000021,0.628000021,0.616999984,0.606000006,0.595091999,0.108999997,0.101999998,0.101999998,0.109999999,0.109999999,0.109999999,0,-0.159876172,0.000589579
Russian Federation,,,,,,,,,,,,31.30463409,32.06101227,32.06481552,31.85747528,31.11458778,30.85669708,30.98789215,30.80012703,30.41775513,30.60780144,30.79784584,31.30463409,31.17793655,31.05123901,31.17793655,31.17793655,31.30463409,31.36798286,31.43132973,31.4946785,31.81142044,31.97809029,32.25865936,32.35564804,32.27103424,32.27103424,0,0.003451881,0.172966539
Turkmenistan,,,,,,,,,,,,,,,,,,2.365411043,2.259375334,2.332784653,2.332784653,2.332784653,2.332784653,2.332784653,2.332784653,2.332784653,2.332784653,2.332784653,7.340930939,7.340930939,10.16499996,17.47900009,17.47900009,17.47900009,17.47900009,17.47900009,17.47900009,0,0.223106273,0.09368408
Ukraine,,,,,,,,,,,,,,,,,,0.666121483,0.713701606,0.707357585,0.704185605,0.704185605,0.704185605,0.701013565,0.704185605,0.697841585,0.696560085,0.696560085,0.683034658,0.669509172,0.655000031,0.653999984,0.642730474,0.629237294,0.616244555,0.603638172,0.59090519,-0.021093733,-0.014397072,0.003167138
United Kingdom,0.739000022,0.663999975,0.633000016,0.712000012,0.725000024,0.648000002,0.634000003,0.643999994,0.589999974,0.560000002,0.545000017,0.540000021,0.610000014,0.629999995,0.660000026,0.699999988,0.75999999,0.764999986,0.754999995,0.75999999,0.735000014,0.654999971,0.629999995,0.589999974,0.531000018,0.481000006,0.412,0.342999995,0.291999996,0.256000012,0.252590001,0.246030003,0.244000003,0.240999997,0.206,0.207000002,0.207000002,0,-0.080858179,0.00110948
USSR,19.55602837,20.77828217,21.3894062,22.00053215,22.91722298,24.44503784,25.05616188,25.48394966,25.97285271,31.77854538,33.32469559,2.307289839,2.284262657,3.25826335,3.679496527,3.945704699,3.763584852,,,,,,,,,,,,,,,,,,,,,,,
Uzbekistan,,,,,,,,,,,,,,,,,,1.110202551,1.110202551,1.110202551,1.173642635,1.173642635,1.173642635,1.179986715,1.179986715,1.173642635,1.186857224,1.186857224,1.180094481,1.137489319,1.121999979,1.121999979,1.121999979,1.085872889,1.085872889,1.085872889,1.085872889,0,-0.00774268,0.00582007
Other Europe & Eurasia,0.326000005,0.339999999,0.349000001,0.370000002,0.372999999,0.366000002,0.358999997,0.351999996,0.346999999,0.350000003,0.346597995,0.333437004,0.333439006,0.305701996,0.262835001,0.266481997,0.219252,0.246698177,0.218329306,0.254140812,0.231951257,0.232780495,0.219747147,0.212553447,0.212832368,0.218306164,0.214310737,0.229638651,0.219257724,0.211250471,0.207064053,0.216276123,0.215241639,0.208173097,0.198295211,0.191775677,0.202831746,0.057651051,-0.012873633,0.001087139
Total Europe & Eurasia,23.75525718,24.81500545,25.29631788,26.14417781,26.99522706,28.62311131,29.17196875,30.34608988,31.23029602,36.97927398,38.50604268,38.74216691,39.59013699,40.45617234,40.64088063,40.16678695,39.80780183,41.86697654,41.49320466,41.5258447,41.64233896,42.60807306,42.96000426,43.0127095,42.68155566,42.97162692,42.76493086,42.77084416,47.6192035,47.39222345,50.13550117,57.10043005,56.64809663,56.86890004,56.97171835,56.8044114,56.6915318,-0.001987163,0.028300452,0.303855711
Bahrain,0.232999995,0.224999994,0.222000003,0.217999995,0.214000002,0.209000006,0.203999996,0.197999999,0.189999998,0.182999998,0.177000001,0.172999993,0.166999996,0.158999994,0.152999997,0.147,0.142000005,0.142000005,0.142000005,0.118000001,0.109999999,0.109999999,0.109999999,0.092,0.090000004,0.090000004,0.090000004,0.085000001,0.090000004,0.23163183,0.218945891,0.218945891,0.199322313,0.190514639,0.181264043,0.172064558,0.163035423,-0.052475276,0.066952019,0.000873839
Iran,14.10099983,14.08500004,14.06900024,14.04500008,14.01599979,13.98600006,13.95499992,13.92199993,14.19999981,17,17.00300026,19.79999924,20.70000076,20.70000076,20.76399994,19.35000038,23,23,24.10000038,25,26,26.10000038,26.69000053,27.56999969,27.5,27.57999992,26.85000038,28.12999916,29.61000061,29.61000061,33.09000015,33.61999893,33.77999878,34.02000046,34.02000046,33.5,33.5,0,0.019635751,0.179553559
